post_id,type,date,old_slug,old_title,old_url,decision (keep|redirect|drop),new_url,notes
91325,page,2026-04-02,smallfarmsagent,MyFarmAgents — Market Report,https://nimrod.bio/smallfarmsagent/,,,
90896,page,2023-02-23,blog,בלוג מהגינה,https://nimrod.bio/blog/,,,
90533,page,2021-01-24,shook,שוק הירוקה,https://nimrod.bio/shook/,,,
2516,page,2019-08-07,הזמנת-סל-ירקות-אורגאני-פרדס-חנה-2-2-2-2-2,מהגינה של נימרוד,https://nimrod.bio/הזמנת-סל-ירקות-אורגאני-פרדס-חנה-2-2-2-2-2/,,,
1571,page,2017-12-27,grow,נתוני גידול,https://nimrod.bio/grow/,,,
1154,page,2017-09-07,עדכון-מינים-וזנים,עדכון מינים וזנים,https://nimrod.bio/עדכון-מינים-וזנים/,,,
1144,page,2017-08-22,טבלת-מינים,טבלת מינים,https://nimrod.bio/טבלת-מינים/,,,
91178,post,2023-03-06,פטריות-יער-בגינה,פטריות יער בגינה,https://nimrod.bio/פטריות-יער-בגינה/,,,
91019,post,2023-03-01,מבוא-לגידול-הידרופוני,מבוא לגידול הידרופוני,https://nimrod.bio/מבוא-לגידול-הידרופוני/,,,
90935,post,2023-02-24,מדריך-שתילה-נכונה,מדריך שתילה נכונה,https://nimrod.bio/מדריך-שתילה-נכונה/,,,
90917,post,2023-02-24,מדריך-שליפת-שתילים,מדריך ״שליפת״ שתילים,https://nimrod.bio/מדריך-שליפת-שתילים/,,,
90592,post,2023-02-21,קהילה_חקלאית,הקהילה החקלאית - החברים של הגינה,https://nimrod.bio/קהילה_חקלאית/,,,
90724,post,2023-02-12,מדריך-המקיף-לגידול-דלועים-אורגניים-בב-2,מדריך המקיף לגידול דלועים אורגניים בבית ובשדה,https://nimrod.bio/מדריך-המקיף-לגידול-דלועים-אורגניים-בב-2/,,,
90677,post,2023-01-29,video1,למה אנחנו קמים בבוקר?  יום בגינה,https://nimrod.bio/video1/,,,
90635,post,2021-10-07,harish2021,חריש למאכל,https://nimrod.bio/harish2021/,,,
90589,post,2021-03-21,common,ידידי מהגינה - קומון המהפכה החקלאית השלישית,https://nimrod.bio/common/,,,
90510,post,2021-01-20,אוכמניות,שתילי אוכמניות וגידול אוכמניות בבית,https://nimrod.bio/אוכמניות/,,,
90444,post,2020-11-08,spaces_dtm-winter,גידולי ירקות חורף - מרווחים וזמנים,https://nimrod.bio/spaces_dtm-winter/,,,
90361,post,2020-11-04,שתילות-חורף-הדרכה-לגני-ילדים,שתילות חורף - הדרכה לגני ילדים,https://nimrod.bio/שתילות-חורף-הדרכה-לגני-ילדים/,,,
90248,post,2020-10-08,transplant-spread,שתילי חורף לכווולם!,https://nimrod.bio/transplant-spread/,,,
90156,post,2020-10-05,direct-seeding,גידולי חורף בזריעה ישירה,https://nimrod.bio/direct-seeding/,,,
90109,post,2020-09-30,transpantphotoindex,איזה שתילים קניתי? - מדריך מצולם,https://nimrod.bio/transpantphotoindex/,,,
90085,post,2020-09-24,transplantinfo2020,שתילי חורף - מידע לשותלים,https://nimrod.bio/transplantinfo2020/,,,
90026,post,2020-09-21,transplants2020,מהגינה לגנן - שתילי חורף 2020,https://nimrod.bio/transplants2020/,,,
6516,post,2019-11-18,חדש-הזמנות-מהגינה-באפליקציית-farmer,חדש - הזמנות מהגינה באפליקציית Farmer,https://nimrod.bio/חדש-הזמנות-מהגינה-באפליקציית-farmer/,,,
2760,post,2019-08-12,זיו-רייף-כאן-11-מבקר-בגינה,זיו רייף (כאן 11) מבקר בגינה,https://nimrod.bio/זיו-רייף-כאן-11-מבקר-בגינה/,,,
2236,post,2019-07-10,שיתוף-פעולה-חדש-בין-הגינה-ומחסני-הטבעו,שיתוף פעולה חדש בין הגינה ומחסני הטבעונות,https://nimrod.bio/שיתוף-פעולה-חדש-בין-הגינה-ומחסני-הטבעו/,,,
2233,post,2019-07-10,עדכון-שבועי-מהגינה,עדכון שבועי מהגינה,https://nimrod.bio/עדכון-שבועי-מהגינה/,,,
2187,post,2019-07-07,סדנת-ליקוט-עם-אביבית-ברקוביץ,סדנת ליקוט  עם אביבית ברקוביץ,https://nimrod.bio/סדנת-ליקוט-עם-אביבית-ברקוביץ/,,,
1233,post,2017-09-24,מועדי-זריעה-ושתילה,מועדי זריעה ושתילה,https://nimrod.bio/מועדי-זריעה-ושתילה/,,,
1218,post,2017-09-24,צמחים-חברים,צמחים חברים,https://nimrod.bio/צמחים-חברים/,,,
